id,alias,call_sign,code_iata,code_icao,country_id,name
AI,,AIRINDIA,AI,AIC,in,Air India Limited
AJ,,AEROLINE,AJ,NIG,ng,Aero Contractors
AK,Air Asia,ASIAN EXPRESS,AK,AXM,my,AirAsia
AL,,SKYWAY-EX,AL,SYX,us,Skywalk Airlines
AM,,AEROMEXICO,AM,AMX,mx,AeroMéxico
AN,,ANSETT,AN,AAA,au,Ansett Australia
AO,,Nova,AO,,ru,Avianova (Russia)
AP,,HERON,AP,ADH,it,Air One
AQ,,ALOHA,AQ,AAH,us,Aloha Airlines
AR,,ARGENTINA,AR,ARG,ar,Aerolineas Argentinas
AS,, Inc.,AS,ASA,,Alaska Airlines
AT,,ROYALAIR MAROC,AT,RAM,ma,Royal Air Maroc
AU,,AUSTRAL,AU,AUT,ar,Austral Lineas Aereas
AV,, S.A.,AV,AVA,,Avianca - Aerovias Nacionales de Colombia
AW,,Asian Star,AW,AWM,,Asian Wings Airways
AX,,WATERSKI,AX,LOF,us,Trans States Airlines
AY,,FINNAIR,AY,FIN,fi,Finnair
AZ,,ALITALIA,AZ,AZA,it,Alitalia
B0,,aws,B0,666,us,Aws express
B1,,Baltic,B1,BA1,lv,Baltic Air lines
B2,,BELARUS AVIA,B2,BRU,by,Belavia Belarusian Airlines
B3,,BHUTAN AIR,B3,BTN,bt,Bhutan Airlines
B3,,BELLVIEW AIRLINES,B3,BLV,ng,Bellview Airlines
B4,,GLOBESPAN,B4,GSM,gb,Flyglobespan
B5,,FLIGHTLINE,B5,FLT,gb,Flightline
B6,,JETBLUE,B6,JBU,us,JetBlue Airways
B7,,Glory,B7,UIA,tw,Uni Air
B8,,ERITREAN,B8,ERT,er,Eritrean Airlines
B9,,AIR BANGLA,B9,BGD,bd,Air Bangladesh
B9,,IRAN AIRTOUR,B9,IRB,bt,Iran Airtour
BA,,SPEEDBIRD,BA,BAW,gb,British Airways
BB,,SEABORNE,BB,SBS,us,Seaborne Airlines
BC,,SKYMARK,BC,SKY,jp,Skymark Airlines
BD,bmi British Midland,MIDLAND,BD,BMA,gb,bmi
BE,,JERSEY,BE,BEE,gb,Flybe
BF,,CONGOSERV,BF,RSR,,Aero-Service
BG,,BANGLADESH,BG,BBC,bd,Biman Bangladesh Airlines
BH,,,BH,,ca,Hawkair
BI,,BRUNEI,BI,RBA,,Royal Brunei Airlines
BJ,,NOUVELAIR,BJ,LBT,tn,Nouvel Air Tunisie
BK,,DISTRICT,BK,PDC,us,Potomac Air
BL,Pacific Airlines,PACIFIC AIRLINES,BL,PIC,vn,Jetstar Pacific
BM,,,BM,,it,Air Sicilia
BN,,,BN,HZA,au,Horizon Airlines
BP,,BOTSWANA,BP,BOT,bw,Air Botswana
BQ,,,BQ,BQB,uy,Buquebus Líneas Aéreas
BR,,EVA,BR,EVA,tw,EVA Air
BS,,BANGLA STAR,BS,UBG,bd,US-Bangla Airlines
BS,,BRINTEL,BS,BIH,gb,British International Helicopters
BT,,AIRBALTIC,BT,BTI,lv,Air Baltic
BU,,,BU,BUU,,Baikotovitchestrian Airlines
BV,,BLUE PANOROMA,BV,BPA,it,Blue Panorama Airlines
BW,,CARIBBEAN AIRLINES,BW,BWA,tt,Caribbean Airlines
BX,,Air Busan,BX,ABL,,Air Busan
BY,,TOMSON,BY,TOM,gb,Thomsonfly
BZ,,Stallion,BZ,BSA,us,Black Stallion Airways
