id,code,country_id,long_name,name,time_offset
America/Dominica,America/Dominica,dm,America/Dominica,Dominica,−04:00
America/Edmonton,America/Edmonton,ca,America/Edmonton,Edmonton,−07:00
America/Eirunepe,America/Eirunepe,br,America/Eirunepe,Eirunepe,−05:00
America/El_Salvador,America/El_Salvador,sv,America/El Salvador,El Salvador,−06:00
America/Fort_Nelson,America/Fort_Nelson,ca,America/Fort Nelson,Fort Nelson,−07:00
America/Fortaleza,America/Fortaleza,br,America/Fortaleza,Fortaleza,−03:00
America/Glace_Bay,America/Glace_Bay,ca,America/Glace Bay,Glace Bay,−04:00
America/Goose_Bay,America/Goose_Bay,ca,America/Goose Bay,Goose Bay,−04:00
America/Grand_Turk,America/Grand_Turk,tc,America/Grand Turk,Grand Turk,−05:00
America/Grenada,America/Grenada,gd,America/Grenada,Grenada,−04:00
America/Guadeloupe,America/Guadeloupe,gp,America/Guadeloupe,Guadeloupe,−04:00
America/Guatemala,America/Guatemala,gt,America/Guatemala,Guatemala,−06:00
America/Guayaquil,America/Guayaquil,ec,America/Guayaquil,Guayaquil,−05:00
America/Guyana,America/Guyana,gy,America/Guyana,Guyana,−04:00
America/Halifax,America/Halifax,ca,America/Halifax,Halifax,−04:00
America/Havana,America/Havana,cu,America/Havana,Havana,−05:00
America/Hermosillo,America/Hermosillo,mx,America/Hermosillo,Hermosillo,−07:00
America/Indiana/Indianapolis,America/Indiana/Indianapolis,us,America/Indiana/Indianapolis,Indiana/Indianapolis,−05:00
America/Indiana/Knox,America/Indiana/Knox,us,America/Indiana/Knox,Indiana/Knox,−06:00
America/Indiana/Marengo,America/Indiana/Marengo,us,America/Indiana/Marengo,Indiana/Marengo,−05:00
America/Indiana/Petersburg,America/Indiana/Petersburg,us,America/Indiana/Petersburg,Indiana/Petersburg,−05:00
America/Indiana/Tell_City,America/Indiana/Tell_City,us,America/Indiana/Tell City,Indiana/Tell City,−06:00
America/Indiana/Vevay,America/Indiana/Vevay,us,America/Indiana/Vevay,Indiana/Vevay,−05:00
America/Indiana/Vincennes,America/Indiana/Vincennes,us,America/Indiana/Vincennes,Indiana/Vincennes,−05:00
America/Indiana/Winamac,America/Indiana/Winamac,us,America/Indiana/Winamac,Indiana/Winamac,−05:00
America/Inuvik,America/Inuvik,ca,America/Inuvik,Inuvik,−07:00
America/Iqaluit,America/Iqaluit,ca,America/Iqaluit,Iqaluit,−05:00
America/Jamaica,America/Jamaica,jm,America/Jamaica,Jamaica,−05:00
America/Juneau,America/Juneau,us,America/Juneau,Juneau,−09:00
America/Kentucky/Louisville,America/Kentucky/Louisville,us,America/Kentucky/Louisville,Kentucky/Louisville,−05:00
America/Kentucky/Monticello,America/Kentucky/Monticello,us,America/Kentucky/Monticello,Kentucky/Monticello,−05:00
America/Kralendijk,America/Kralendijk,bq,America/Kralendijk,Kralendijk,−04:00
America/La_Paz,America/La_Paz,bo,America/La Paz,La Paz,−04:00
America/Lima,America/Lima,pe,America/Lima,Lima,−05:00
America/Los_Angeles,America/Los_Angeles,us,America/Los Angeles,Los Angeles,−08:00
America/Lower_Princes,America/Lower_Princes,sx,America/Lower Princes,Lower Princes,−04:00
America/Maceio,America/Maceio,br,America/Maceio,Maceio,−03:00
America/Managua,America/Managua,ni,America/Managua,Managua,−06:00
America/Manaus,America/Manaus,br,America/Manaus,Manaus,−04:00
America/Marigot,America/Marigot,mf,America/Marigot,Marigot,−04:00
America/Martinique,America/Martinique,mq,America/Martinique,Martinique,−04:00
America/Matamoros,America/Matamoros,mx,America/Matamoros,Matamoros,−06:00
America/Mazatlan,America/Mazatlan,mx,America/Mazatlan,Mazatlan,−07:00
America/Menominee,America/Menominee,us,America/Menominee,Menominee,−06:00
America/Merida,America/Merida,mx,America/Merida,Merida,−06:00
America/Metlakatla,America/Metlakatla,us,America/Metlakatla,Metlakatla,−09:00
America/Mexico_City,America/Mexico_City,mx,America/Mexico City,Mexico City,−06:00
America/Miquelon,America/Miquelon,pm,America/Miquelon,Miquelon,−03:00
America/Moncton,America/Moncton,ca,America/Moncton,Moncton,−04:00
America/Monterrey,America/Monterrey,mx,America/Monterrey,Monterrey,−06:00
America/Montevideo,America/Montevideo,uy,America/Montevideo,Montevideo,−03:00
America/Montserrat,America/Montserrat,ms,America/Montserrat,Montserrat,−04:00
America/Nassau,America/Nassau,bs,America/Nassau,Nassau,−05:00
America/New_York,America/New_York,us,America/New York,New York,−05:00
America/Nipigon,America/Nipigon,ca,America/Nipigon,Nipigon,−05:00
