id,code_iata,code_icao,country_id,municipality,name,timezone_id
03ok,,03ok,us,Sapulpa,Sahoma Lake Airport,America/Chicago
03or,,03or,us,Troy,Powwatka Ridge Airport,America/Los_Angeles
03ps,,03ps,us,Bellefonte,Ziggy's Field,America/New_York
03ta,,03ta,us,Gay Hill,Gay Hill Farm Airport,America/Chicago
03te,,03te,us,Hebbronville,Barronena Ranch Airport,America/Chicago
03ut,,03ut,us,Mexican Hat,A Z Minerals Corporation Airport,America/Denver
03wa,,03wa,us,Spangle,Spangle Field,America/Los_Angeles
03wi,,03wi,us,Berlin,Zink Airport,America/Chicago
03wn,,03wn,us,Goldendale,Aerostone Ranch Airport,America/Los_Angeles
03xs,,03xs,us,Mertzon,Creekside Airport,America/Chicago
04az,,04az,us,Chinle,Chinle Airport,America/Denver
04ca,,04ca,us,Palmdale,Gray Butte Field,America/Los_Angeles
04cl,,04cl,us,Julian,Hunt's Sky Ranch Airport,America/Los_Angeles
04fa,,04fa,us,Homestead,Richards Field,America/New_York
04fl,,04fl,us,Ormond,Cross Creek Farms Airport,America/New_York
04ia,,04ia,us,Packwood,Middlekoop Airport,America/Chicago
04id,,04id,us,Emmett,Lanham Field,America/Boise
04ii,,04ii,us,New Haven,Turkey Run Airport,America/Indiana/Indianapolis
04il,,04il,us,Hudson,Schertz Aerial Service - Hudson Airport,America/Chicago
04is,,04is,us,Mansfield,Van Gorder Airport,America/Chicago
04ky,,04ky,us,Hiseville,Natchez Trace Farm Airport,America/Chicago
04ll,,04ll,us,West Dundee,Brunner Airport,America/Chicago
04me,,04me,us,Mercer,Beech Hill Airport,America/New_York
04mi,,04mi,us,Eaton Rapids,Rapids Airway Airport,America/Detroit
04mn,,04mn,us,Kelliher,Helblad Airport,America/Chicago
04mo,,04mo,us,Vandalia,Airpark Private Airport,America/Chicago
04ms,,04ms,us,Rolling Fork,Nick's Flying Service Inc Airport,America/Chicago
04mt,,04mt,us,Cohagen,Pluhar Airport,America/Denver
04ne,,04ne,us,Sarben,Mc Connell Field Airport,America/Denver
04nj,,04nj,us,Elmer,Emmanuel Airport,America/New_York
04nv,,04nv,us,Sandy Valley,Kingston Ranch Airport,America/Los_Angeles
04ny,,04ny,us,Hudson,Klaverack Airport,America/New_York
04oh,,04oh,us,Garrettsville,Bossow Airport,America/New_York
04or,,04or,us,Mitchell,Collins Landing Strip,America/Los_Angeles
04tn,,04tn,us,Chuckey,Hensley Airpark,America/New_York
04tx,,04tx,us,China Spring,Pocock Airport,America/Chicago
04ut,,04ut,us,Navajo Mountain Trdng Post,Navajo Mountain Airport,America/Denver
04vg,,04vg,us,Manquin,Manquin Flight Park Ultralightport,America/New_York
04vt,,04vt,us,Cabot,Lightning Bolt Field Airport,America/New_York
04wa,,04wa,us,Spokane,Ox Meadows Airport,America/Los_Angeles
04wi,,04wi,us,Bristol,Dutch Gap Airstrip,America/Chicago
04wn,,04wn,us,Royal City,Stillwater Creek Airport,America/Los_Angeles
05ak,,05ak,us,Palmer,Wasilla Creek Airpark,America/Anchorage
05ar,,05ar,us,Kingston,Ozark Skies Airpark,America/Chicago
05cl,,05cl,us,Pope Valley,Pope Valley Airport,America/Los_Angeles
05co,,05co,us,Mead,Rancho De Aereo Airport,America/Denver
05fa,,05fa,us,Florala,Melanie's Airport,America/Chicago
05fl,,05fl,us,La Belle,Charlton Strip,America/New_York
05ga,,05ga,us,Richland,Raju Airport,America/New_York
05ia,,05ia,us,Nora Springs,Spotts Field,America/Chicago
05id,,05id,us,Grangeville,Running Creek Ranch Airport,America/Los_Angeles
05ii,,05ii,us,New Haven,Reichhart Airport,America/Indiana/Indianapolis
05il,,05il,us,Bonfield,Classic Landings Airport,America/Chicago
05in,,05in,us,Belleville,Cooper Airport,America/Indiana/Indianapolis
05is,,05is,us,Mount Auburn,Hardy Airport,America/Chicago
05ks,,05ks,us,Elk City,Darbro Field,America/Chicago
05ky,,05ky,us,Berea,Cartersville Airport,America/New_York
05la,,05la,us,Baskin,Greg's Flying Service Airport,America/Chicago
05ls,,05ls,us,Alexandria,Grass Roots Airport,America/Chicago
05md,,05md,us,Chestertown,Breezecroft Airport,America/New_York
05me,,05me,us,Jonesboro,Drisko Airport,America/New_York
05ne,,05ne,us,Spalding,Mc Kay Airport,America/Chicago
05oi,,05oi,us,Columbia Station,Dorlon Airpark,America/New_York
05ok,,05ok,us,Crescent,Hawk Haven Airport,America/Chicago
05or,,05or,us,Enterprise,Peacock Ranch Airport,America/Los_Angeles
05ps,,05ps,us,Burnt Cabins,Mills Brothers Airport,America/New_York
05ta,,05ta,us,Sealy,Brandes Air Field,America/Chicago
05te,,05te,us,Georgetown,Hilde-Griff Field,America/Chicago
05ts,,05ts,us,Justin,Dew Drop Airport,America/Chicago
05tx,,05tx,us,Blum,Circle 'A' Ranch Airport,America/Chicago
05ut,,05ut,us,Oljato,Oljato Airport,America/Denver
05va,,05va,us,Farmville,Providence Airport,America/New_York
05wi,,05wi,us,Darien,Ames Private Airport,America/Chicago
05wn,,05wn,us,Kettle Falls,Flat Creek Field,America/Los_Angeles
05xs,,05xs,us,Wilmot,Johnson Memorial Airport,America/Chicago
06ak,,06ak,us,Wasilla,June Lake Airpark,America/Anchorage
06ar,,06ar,us,Higden,Bondair Airport,America/Chicago
06co,,06co,us,Branson,Jecan Airport,America/Denver
06fa,,06fa,us,Jupiter,William P Gwinn Airport,America/New_York
06fd,,06fd,us,Mascotte,Grass Roots Airpark,America/New_York
06ia,,06ia,us,Walford,Rich Field,America/Chicago
06id,,06id,us,Kuna,Larkin Airport,America/Boise
06il,,06il,us,Earlville,Humm Airport,America/Chicago
06in,,06in,us,Blackhawk,Ellis Fly-In Airport,America/Indiana/Indianapolis
06is,,06is,us,Nauvoo,Sinele Strip,America/Chicago
06mn,,06mn,us,Virginia,Pike Field Airport,America/Chicago
06mo,,06mo,us,Waldron,Noahs Ark Airport,America/Chicago
06mt,,06mt,us,Ethridge,Torgerson Airport,America/Denver
06nc,,06nc,us,St. Pauls,Tailwinds Airport,America/New_York
06nd,,06nd,us,Glen Ullin,Fitterer's Strip,America/North_Dakota/New_Salem
06nh,,06nh,us,Kensington,Cole Farm Airport,America/New_York
06ny,,06ny,us,Auburn,Murphy Field,America/New_York
06oh,,06oh,us,Williamsfield,Hal Joy Airfield,America/New_York
06oi,,06oi,us,New Lebanon,Green Acres Airport,America/New_York
06or,,06or,us,Forest Grove,Hayden Mountain Airport,America/Los_Angeles
06pa,,06pa,us,Ceres,Freefall Oz Airport,America/New_York
06r,,06r,us,Bellville,Grawunder Field Airport,America/Chicago
06sn,,06sn,us,Derby,Beyer Farm Airport,America/Chicago
06ta,,06ta,us,Buckholts,Glaser Field,America/Chicago
06te,,06te,us,Cleveland,Ainsworth Airport,America/Chicago
06tn,,06tn,us,Columbia,Hunter STOLport,America/Chicago
06ts,,06ts,us,Kerens,Roscoe Mc Connico Airport,America/Chicago
06tx,,06tx,us,Hockley,Diamond N Ranch Airport,America/Chicago
06va,,06va,us,Grottoes,Mount Horeb Field,America/New_York
06wi,,06wi,us,Frederic,Young Private Airport,America/Chicago
06wn,,06wn,us,Yelm,Western Airpark,America/Los_Angeles
06xs,,06xs,us,Aubrey,Campbell Field,America/Chicago
07ar,,07ar,us,Morrilton,Morrilton Airport,America/Chicago
07cl,,07cl,us,Richvale,Richvale Airport,America/Los_Angeles
07co,,07co,us,Kiowa,Comanche Creek Airport,America/Denver
07fa,,07fa,us,Key Largo,Ocean Reef Club Airport,America/New_York
07fd,,07fd,us,Lee,Flying G Ranch STOLport,America/New_York
07ga,,07ga,us,Covington,Alcovy Airport,America/New_York
07id,,07id,us,Malta,Interstate Airport,America/Boise
07in,,07in,us,Boggstown,Gray Airport,America/Indiana/Indianapolis
07ks,,07ks,us,Augusta,Heape Field,America/Chicago
07ky,,07ky,us,Louisville,Blue Lick Airport,America/New_York
07md,,07md,us,Westminster,Baugher's Orchard Airport,America/New_York
07mi,,07mi,us,Lake,Scott Airstrip,America/Detroit
07mn,,07mn,us,Hadley,Dairyview Airport,America/Chicago
07mo,,07mo,us,Warrensburg,Lake Sexton Airport,America/Chicago
07mt,,07mt,us,Glasgow,Glasgow Industrial Airport,America/Denver
07nc,,07nc,us,Waxhaw,Hawks Meadow Airport,America/New_York
07ok,,07ok,us,Snyder,Pleasant Valley Airport,America/Chicago
07or,,07or,us,Milwaukie,Bruce's Airport,America/Los_Angeles
07pn,,07pn,us,Grassflat,Folmar Airport,America/New_York
07sn,,07sn,us,Phillipsburg,Churchill Airport,America/Chicago
07ta,,07ta,us,Danbury,Salaika Aviation Airport,America/Chicago
07te,,07te,us,Corpus Christi,Cuddihy Field,America/Chicago
07tn,,07tn,us,Vonore,Corntassel Airport,America/New_York
07ts,,07ts,us,Georgetown,Cross-Country Estates Airport,America/Chicago
07va,,07va,us,Clover,Alpha Hotel Airport,America/New_York
07vt,,07vt,us,Jericho,Meadow STOLport,America/New_York
07wi,,07wi,us,Genessee Depot,Bartell Strip,America/Chicago
08ak,,08ak,us,Big Lake,Fisher Airport,America/Anchorage
08cl,,08cl,us,Jamestown,Kistler Ranch Airport,America/Los_Angeles
08co,,08co,us,Rush,Terra Firma Airport,America/Denver
08fa,,08fa,us,La Belle,Duda Airstrip,America/New_York
08fd,,08fd,us,Okeechobee,Sunniland Ranch Airport,America/New_York
08fl,,08fl,us,Lake Placid,J. H. Hendrie Farms Airport,America/New_York
08ga,,08ga,us,Darien,Sapelo Island Airport,America/New_York
08id,,08id,us,Marsing,Symms Airport,America/Boise
08il,,08il,us,Tampico,Harms Airstrip,America/Chicago
08is,,08is,us,Du Quoin,Hemmer RLA Restricted Landing Area,America/Chicago
08ks,,08ks,us,Bennington,Alderson Airport,America/Chicago
08ky,,08ky,us,Burnside,Boss Airport,America/New_York
08ll,,08ll,us,Dwight,Sauer Airport,America/Chicago
08ls,,08ls,us,Grand Coteau,Aeleron Airport,America/Chicago
08ma,,08ma,us,Southborough,Wormid Airport,America/New_York
08me,,08me,us,Avon,Lindbergh Airport,America/New_York
08mo,,08mo,us,Jasper,Twin Oaks Airport,America/Chicago
08ms,,08ms,us,Coldwater,Williams Field,America/Chicago
08mt,,08mt,us,Grassrange,Clark Airport,America/Denver
08nc,,08nc,us,Lewisville,Whiteheart Farm Airport,America/New_York
08nd,,08nd,us,Golden Valley,Brecht Strip,America/North_Dakota/Beulah
08ne,,08ne,us,Laurel,Laurel Municipal Airport,America/Chicago
08ny,,08ny,us,Middletown,Md1 Airport,America/New_York
08oh,,08oh,us,Hartford,Kenley Airport,America/New_York
08ok,,08ok,us,Wilburton,Parks Airport,America/Chicago
